texto,label,fonte,data_coleta
"Que nojo! Assista esse vídeo e saiba como são feitas as famosas ""jujubinhas"".",falso,Fake.br-Corpus,2026-05-24
Captação de recursos cresce,verdadeiro,Lupa,2023-10-16
Presidente ordena vacinação com chip,falso,TSE,2024-07-10
fazendeiro é condenado a pagar r mil por desmatamento em reserva,verdadeiro,G1,2026-05-24
Lei da mordaça? Militares se rebelam contra Temer e são repreendidos pelo Alto Comando.,falso,Fake.br-Corpus,2026-05-24
Custo de vida vai aumentar 500%,falso,Aos Fatos,2021-02-18
"SBT paga R$ 3 mil por hora para você trabalhar em casa, veja como.",falso,Fake.br-Corpus,2026-05-24
"PROMOTOR: A Bancoop, comandada pelo tesoureiro do PT, era uma organização criminosa.",falso,Fake.br-Corpus,2026-05-24
"Economia tem crescimento de 2,2%",verdadeiro,Fato ou Fake,2022-05-31
Eleitorado brasileiro cresce em 2026,verdadeiro,Aos Fatos,2021-05-05
TSE aprova resolução sobre campanha,verdadeiro,Agência Brasil,2025-12-04
Congresso aprova lei para abolir a família tradicional,falso,Agência Brasil,2023-06-04
Bancos fecham permanentemente,falso,Fato ou Fake,2024-10-11
Inflação mensal atinge 50%,falso,Lupa,2022-05-17
"PT age na calada da noite: ""Agentes de Cuba estão sendo enviados para o Brasil como se fossem médicos"".",falso,Fake.br-Corpus,2026-05-24
"Aécio pediu R$ 2 milhões para Joesley e disse: ""A gente mata o entregador antes dele fazer a delação"". .",falso,Fake.br-Corpus,2026-05-24
Temer joga pesado e sugere que Janot recebeu milhões da JBS.,falso,Fake.br-Corpus,2026-05-24
Governo faz acordo com organizações criminosas,falso,Lupa,2022-10-28
gilmar mendes crise do master está na faria lima,verdadeiro,Folha de S.Paulo,2026-05-24
Representação feita na PGR poderá cassar os direitos políticos de Dilma e Jaques Wagner.,falso,Fake.br-Corpus,2026-05-24
Indústria farmacêutica cresce,verdadeiro,Fato ou Fake,2025-08-22
são pedro sp ganha parque que une arte meio ambiente e lazer,verdadeiro,Catraca Livre - Notícias,2026-05-24
em guerra com os eua irã muda concentração para o méxico durante a copa,verdadeiro,Gazeta Esportiva,2026-05-24
"Estão estancando a sangria da ""Lava-Jato"" bem debaixo do nosso nariz.",falso,Fake.br-Corpus,2026-05-24
Índice de preços ao produtor cai,verdadeiro,Lupa,2022-12-01
Tribunal Superior Eleitoral mantém resultado,verdadeiro,Aos Fatos,2024-04-21
O antagonista: Descoberto contrato de compra de imóvel de R$ 6 milhões no apto de Lula.,falso,Fake.br-Corpus,2026-05-24
Genro de Silvio Santos está na lista da Lava Jato.,falso,Fake.br-Corpus,2026-05-24
Governo confisca ouro de cidadãos,falso,Lupa,2025-01-24
Ibovespa ultrapassa 140 mil pontos,verdadeiro,TSE,2023-04-03
Há suspeitas de que Mantega sabia da Operação da PF e teria tentado se esconder no hospital Albert Einstein.,falso,Fake.br-Corpus,2026-05-24
STF ordena prisão de jornalistas críticos,falso,Lupa,2023-07-10
URGENTE: A Receita Federal iniciou nesta segunda-feira o monitoramento em tempo real de todas as transações via Pix através dos novos sistemas Harpia e T-Rex.,falso,Redes Sociais,2026-06-12
Congresso aprova lei de regulamentação das redes sociais,verdadeiro,Lupa,2023-01-17
ataque com bomba contra trem deixa mais de mortos no paquistão,verdadeiro,Estado de Minas,2026-05-24
Governo vende Brasil para China,falso,Fato ou Fake,2020-01-03
Governo censura redes sociais,falso,Lupa,2020-05-25
Delação da OAS promete desmoronar o cenário político brasileiro.,falso,Fake.br-Corpus,2026-05-24
Só peixe grande! Lista de Janot enviada ao STF já tem 16 nomes confirmados.,falso,Fake.br-Corpus,2026-05-24
"Funcionários de empresa alegam que ""espírito"" de colega falecido continua no escritório. .",falso,Fake.br-Corpus,2026-05-24
Governo vai proibir a religião no Brasil,falso,Aos Fatos,2021-11-29
caixa paga bolsa família a beneficiários com nis de final,verdadeiro,EBC,2026-05-24
"Renan parte pra guerra: ""Um juizeco de primeira instância não pode atentar contra os Poderes"".",falso,Fake.br-Corpus,2026-05-24
Câmara aprova lei para proibir carros particulares,falso,Fato ou Fake,2026-01-27
Emprego formal cresce 150 mil vagas,verdadeiro,Agência Brasil,2025-12-23
Consumo das famílias cresce em maio,verdadeiro,Aos Fatos,2024-02-08
"Delcídio abre o jogo: ""Desde o mensalão, o PMDB é o principal aliado do PT.",falso,Fake.br-Corpus,2026-05-24
bancada do pt acionará pgr contra mário frias por suspeita de rachadinha,verdadeiro,Brasil 247,2026-05-24
"Revista americana TIME faz lambança e coloca Joel Santana como ""preso da Lava-Jato"".",falso,Fake.br-Corpus,2026-05-24
"Após incendiar as ruas, Frente Brasil Popular diz que PM está reprimindo manifestações.",falso,Fake.br-Corpus,2026-05-24
Tribunal Superior valida resultado de julgamento,verdadeiro,TSE,2022-04-22
Câmara aprova lei de incentivo à agricultura familiar,verdadeiro,Lupa,2026-05-19
o mundo rico descobre o que brasil conhece há tempos estabilidade monetária não é algo permanente,verdadeiro,"O Estado de S. Paulo,",2026-05-24
ms sobe em ranking nacional de qualidade de vida e fica em no país,verdadeiro,Correio Do Estado,2026-05-24
"ANTES DE SAIR:Governo Dilma autorizou aumento de 237% em prestações do ""Minha casa, minha vida"".",falso,Fake.br-Corpus,2026-05-24
Desemprego atinge 60%,falso,TSE,2025-12-03
Setor de agronegócio bate recorde de exportações,verdadeiro,Agência Brasil,2022-03-14
Governo vai eliminar todos os empregos,falso,Lupa,2021-07-25
Mercado de trabalho cria vagas,verdadeiro,Lupa,2022-02-04
Jovem de 29 anos gasta milhares de dólares para ficar parecida com Angelina Jolie.,falso,Fake.br-Corpus,2026-05-24
"Ministro do TCU confirma: "" Vice-presidente não participou de pedaladas fiscais "".",falso,Fake.br-Corpus,2026-05-24
"Inflação acumulada no ano chega a 3,2%",verdadeiro,Fato ou Fake,2026-05-28
Decreto congela contas bancárias,falso,Agência Brasil,2022-01-09
homem é baleado em frente à residência no bairro clima bom,verdadeiro,Tribuna Independente,2026-05-24
aldo rebelo decide recorrer da expulsão e enfrentará joaquim barbosa na convenção do dc,verdadeiro,Brasil 247,2026-05-24
Investimento imobiliário cresce,verdadeiro,Aos Fatos,2023-01-08
Supremo Tribunal Federal julga ação sobre direitos constitucionais,verdadeiro,TSE,2024-03-13
Movimento Ovos na Cara é a versão atualizada do Movimento Cara Pintada.,falso,Fake.br-Corpus,2026-05-24
Lewandowski suspende a sessão do impeachment após baixaria de Lindbergh e Gleisi.,falso,Fake.br-Corpus,2026-05-24
"Casa Branca divulga documento em site oficial: ""Há chances de um asteroide colidir com a Terra e exterminar a vida"".",falso,Fake.br-Corpus,2026-05-24
"Mais um delator confirma que o presidente ""levou"" R$ 10 milhões da Odebrecht.",falso,Fake.br-Corpus,2026-05-24
"Frota não perdoa e detona Gleisi: ""E agora, quem é o bandido? Sua propineira profissional"".",falso,Fake.br-Corpus,2026-05-24
mp denuncia vizinhos por matar esquartejar e esconder corpo de corretora em florianópolis,verdadeiro,Terra,2026-05-24
milton cunha curte piscina com marido em hotel na amazônia,verdadeiro,CNN Brasil,2026-05-24
STF julga inconstitucional decreto anterior,verdadeiro,Aos Fatos,2021-01-16
"URGENTE: Pela segunda vez, PGR pede abertura de inquéritos contra Jucá, Sarney e Renan Calheiros.",falso,Fake.br-Corpus,2026-05-24
Presidente assume poder absoluto,falso,Lupa,2023-05-15
"A finesse da ex-primeira dama comentando sobre as manifestações: ""Eles que enfiem as panelas no c#"".",falso,Fake.br-Corpus,2026-05-24
Tribunal Superior Eleitoral valida voto,verdadeiro,TSE,2021-02-17
Setor de telecomunicações expande,verdadeiro,Lupa,2024-04-20
copa do mundo impulsiona vendas e aquece economia carioca,verdadeiro,O DIA,2026-05-24
Moeda brasileira tem melhor desempenho do mês,verdadeiro,Lupa,2021-05-30
"A casa caiu [ops ...] A cueca caiu! PGR denuncia deputado José Guimarães, aquele dos dólares na cueca.",falso,Fake.br-Corpus,2026-05-24
Petista é preso na Paulista. Ele esfaqueou o pato da Fiesp.,falso,Fake.br-Corpus,2026-05-24
exgarotopropaganda de empresa de vorcaro huck detona bolsa família a empresários,verdadeiro,Diário do Centro do Mundo,2026-05-24
Neto de Getúlio Vargas comete suicídio.,falso,Fake.br-Corpus,2026-05-24
espírito santo mais bônus do que ônus com a reforma tributária,verdadeiro,Jornal Folha Vitória,2026-05-24
Desemprego em massa,falso,Aos Fatos,2023-05-26
Coreia desafia o mundo e diz que vai testar mísseis semanalmente.,falso,Fake.br-Corpus,2026-05-24
"PGR mostra documentos que comprovam vida de luxo de Cunha e esposa: ""Lavaram US$ 1 mi de propina"".",falso,Fake.br-Corpus,2026-05-24
Governo congela depósitos bancários,falso,Lupa,2026-01-03
Bancos perdem depósitos,falso,Lupa,2020-05-19
Os principais beneficiários de repasses da Odebrecht e seus respectivos codinomes  Parte 3. .,falso,Fake.br-Corpus,2026-05-24
lula comenta agressão a operadora de caixa na bahia acabou a escravidão,verdadeiro,A Tarde,2026-05-24
Dilma: Vou voltar como senadora em 2018 Vocês vão ter que me engolir.,falso,Fake.br-Corpus,2026-05-24
Congresso aprova lei para abolir democracia,falso,TSE,2021-03-06
"PIB cresce 1,8% em relação ao trimestre anterior",verdadeiro,Aos Fatos,2021-06-18
Inflação de energia elétrica recua,verdadeiro,Agência Brasil,2020-05-07
"O PIB brasileiro registrou crescimento de 1,1% no primeiro trimestre de 2026 em relação ao final de 2025. No acumulado de 12 meses, a expansão chega a 2%. Analistas do mercado financeiro revisaram a projeção de crescimento anual para 1,91%, destacando a resiliência da atividade econômica apesar dos juros elevados.",verdadeiro,G1,2026-06-12
"Delegação da Bielorússia aumenta o coro das reclamações olímpicas: ""Local porco, insalubre e inabitável"".",falso,Fake.br-Corpus,2026-05-24
morre rosa maria hessel silveira professora e pesquisadora da ufrgs aos anos,verdadeiro,Zero Hora,2026-05-24
fux vota para manter presos pai e primo de vorcaro,verdadeiro,EBC,2026-05-24
"Delegado da PF se revolta com exposição no MAM: ""Mais uma safadeza disfarçada de arte"".",falso,Fake.br-Corpus,2026-05-24
"""Brasil, verás que um filho teu cospe no outro"". O deputado federal PSOL recebeu uma advertência do Conselho de Ética (kkk) da Câmara.",falso,Fake.br-Corpus,2026-05-24
"Cala a boca Galvão! Narrador da BBC se irrita e diz ao vivo: ""Só ele que está falando.",falso,Fake.br-Corpus,2026-05-24
"Quem fala demais... Durante discurso na sede do PT, Lula fica confuso e se autointitula ""criminoso"".",falso,Fake.br-Corpus,2026-05-24
Eleições municipais têm recorde de candidaturas,verdadeiro,Aos Fatos,2020-03-01
Ministro de Dilma é chamado de ladrão safado em restaurante.,falso,Fake.br-Corpus,2026-05-24
"O INTOCÁVEL: Porque o Presidente do Senado é o homem mais poderoso da política brasileira?. . (Jackson Freitas para o Diário do Brasil) Renan não liga se um juiz é de primeira, segunda ou última instância.",falso,Fake.br-Corpus,2026-05-24
homem que atirou contra agentes é morto perto da casa branca,verdadeiro,O Tempo,2026-05-24
"Hóspede cumprimenta Lula dentro de hotel: "" E aí ladrão ? "".",falso,Fake.br-Corpus,2026-05-24
"Em Fortaleza, homem sofre infarto andando de bicicleta e quase é atropelado por caminhão. .",falso,Fake.br-Corpus,2026-05-24
por que emprego já não garante popularidade,verdadeiro,Estado de Minas,2026-05-24
"Alerta da OMS: "" Situação é gravíssima.",falso,Fake.br-Corpus,2026-05-24
o governo vai confiscar o dinheiro do banco,falso,Aos Fatos,2026-05-16
Presidente ordena tomada de terras,falso,Fato ou Fake,2022-09-01
"Coreia do Norte divulga vídeo com ultimato: ""O homem senil (Trump) será controlado com FOGO"". ""Trump ignorou nossa existência e insultou a mim e meu país diante dos olhos do mundo."".",falso,Fake.br-Corpus,2026-05-24
Banco Central reduz juros pela terceira vez,verdadeiro,Lupa,2023-02-12
Ciro Gomes apoiando Dilma? Nada disso.,falso,Fake.br-Corpus,2026-05-24
"Em encontro com Temer no Sírio Libanês, Lula volta a atacar o STF: ""Corte acovardada"".",falso,Fake.br-Corpus,2026-05-24
"FHC: ""Dilma fez pacto com o demônio.",falso,Fake.br-Corpus,2026-05-24
Bolsa de Valores desaparece,falso,Agência Brasil,2021-03-28
Presidente faz acordo com criminosos,falso,Agência Brasil,2025-05-09
"Mais um registro do fascismo petista: Deputados ""black- blocs"" do PT quebram dez urnas no congresso. .",falso,Fake.br-Corpus,2026-05-24
"COPOM reduz taxa Selic em 0,5 ponto percentual",verdadeiro,TSE,2020-05-07
investigada no caso deolane movimentou milhões mas recebeu bolsa família,verdadeiro,UOL Notícias,2026-05-24
inteligência artificial ameaça a eleição de,verdadeiro,Tribuna Do Norte,2026-05-24
"Anonymous se irrita com internet limitada e divulga dados de Kassab: ""Uma demonstração do que podemos fazer"".",falso,Fake.br-Corpus,2026-05-24
sem jogos profissionais estádio municipal de juiz de fora vira alvo de debate sobre uso e manutenção do gramado,verdadeiro,Tribuna De Minas,2026-05-24
"Kim Jon-un posta vídeo pilotando avião e provoca Trump: ""Estou pronto para a guerra"".",falso,Fake.br-Corpus,2026-05-24
a arte salva professora encanta com desenhos impecáveis na lousa,verdadeiro,Correio Braziliense,2026-05-24
Governo vai abolir propriedade privada,falso,Fato ou Fake,2022-10-21
Presidente ordena fechamento do Congresso,falso,Agência Brasil,2023-02-18
Dólar cai para menor patamar em 6 meses,verdadeiro,Lupa,2021-05-17
indecisão fragmenta o pt em minas antes das eleições,verdadeiro,Brasil 247,2026-05-24
"Coreia do Norte confirma sucesso em 9o teste de míssil e promete enviar ""presente explosivo"" para Trump.",falso,Fake.br-Corpus,2026-05-24
Governo injeta rastreador em cidadãos,falso,Agência Brasil,2025-08-20
turistas rumo à copa devem estar alertas para vacina do sarampo,verdadeiro,EBC,2026-05-24
Facebook faz parceria com instituto de George Soros e vira rede social comunista.,falso,Fake.br-Corpus,2026-05-24
Bandidos atacam viatura do Sargento mais famoso do Brasil.,falso,Fake.br-Corpus,2026-05-24
Dólar vai chegar a R$ 20 até final de 2026,falso,TSE,2021-03-13
O deputado Lorenzoni está no senado.,falso,Fake.br-Corpus,2026-05-24
Presidente autoriza rastreamento via vacina,falso,Aos Fatos,2021-10-04
quadrilheiros de roraima conquistam bolsas de até e acesso a serviços de saúde em nova parceria educacional,verdadeiro,Folha De Boa Vista,2026-05-24
entenda o projeto que reduz em quase a floresta nacional do jamanxim criada para proteger áreas perto da br,verdadeiro,G1,2026-05-24
TSE anuncia resultado oficial de eleição,verdadeiro,Fato ou Fake,2024-03-19
TSE aprova novas regras para campanha eleitoral,verdadeiro,Fato ou Fake,2025-03-16
"Coronel da Força Nacional de Segurança abandona o cargo: ""Dilma não tem qualquer tipo de escrúpulo "".",falso,Fake.br-Corpus,2026-05-24
ebola hantavírus influenza a e mais quais os vírus mais perigosos hoje e como eles podem afetar sua rotina,verdadeiro,G1,2026-05-24
especial quem ama cuida semana terá casamento milionário falsa gravidez e guerra pela fortuna,verdadeiro,O Tempo,2026-05-24
Nós vamos estuprar os corruptos afirmam presos da Papuda.,falso,Fake.br-Corpus,2026-05-24
Supremo começa a receber enxurrada de ações contra a posse de Lula.,falso,Fake.br-Corpus,2026-05-24
Banco Central adota moeda mundial,falso,TSE,2021-04-05
joel da harpa reforça apoio à précandidatura de eduardo da fonte ao senado,verdadeiro,Folha De Pernambuco,2026-05-24
"COPOM aumenta taxa de juros em 0,25 ponto",verdadeiro,Lupa,2023-06-11
polícia acha repasse a deolane feito por dono de produtora de funk acusado de lavar dinheiro do pcc,verdadeiro,"O Estado de S. Paulo,",2026-05-24
Governo proíbe investimentos,falso,Fato ou Fake,2024-10-23
Três tesoureiros do PT presos por corrupção! Agora só falta o chefão!.,falso,Fake.br-Corpus,2026-05-24
the economist google está destronando a openai como rei da ia para o consumidor,verdadeiro,"O Estado de S. Paulo,",2026-05-24
O cerco se fecha! Indiciamento de Lula é só o primeiro de muitos outros que virão. .,falso,Fake.br-Corpus,2026-05-24
vacina britânica contra ebola pode ficar pronta para testes em meses,verdadeiro,G1,2026-05-24
"Físico americano diz que Kim Jong-un tem a arma mais poderosa do mundo: ""Não podemos subestimá-lo"".",falso,Fake.br-Corpus,2026-05-24
treino do psg antes da final da champions expõe tensão entre jogadores,verdadeiro,Futebol Interior,2026-05-24
Marcelo Resende tem apoio da nova namorada na luta contra o câncer. .,falso,Fake.br-Corpus,2026-05-24
Ministério autoriza injeção de rastreador,falso,Fato ou Fake,2020-11-12
Governo substitui real por crypto,falso,Aos Fatos,2025-01-08
"Corre-corre no Planalto. Gabinete de Dilma tem quebradeira de copos, jarras e cadeiras.",falso,Fake.br-Corpus,2026-05-24
Políticos do PSDB se calam após 4 senadores serem citados em gravação de Jucá.,falso,Fake.br-Corpus,2026-05-24
CONFIRMADO! Lombardi fará o papel de Sérgio Moro em longa-metragem.,falso,Fake.br-Corpus,2026-05-24
imposto de renda especialista explica o que acontece se você não entregar a declaração,verdadeiro,Jornal Folha Vitória,2026-05-24
"Taxa de desemprego cai para 7,5%",verdadeiro,TSE,2024-06-02
investidores estrangeiros retiram bilhões da bolsa brasileira,verdadeiro,Gazeta do Povo,2026-05-24
Governo fecha jornais críticos,falso,Fato ou Fake,2022-03-10
Parlamento aprova lei de proteção a dados pessoais,verdadeiro,Fato ou Fake,2020-10-26
Decreto estabelece regime ditatorial,falso,Aos Fatos,2024-03-23
"Maria ""Magistrada"" do Rosário anula decisão de juiz federal: ""Revogue-se imediatamente..."".",falso,Fake.br-Corpus,2026-05-24
cientistas descobrem erva que atrai mais os gatos,verdadeiro,UOL Notícias,2026-05-24
Governo proíbe família tradicional,falso,Lupa,2025-11-10
Avião com 97 passageiros faz pouso de emergência no aeroporto de Brasília.,falso,Fake.br-Corpus,2026-05-24
Geração de empregos acelera,verdadeiro,Fato ou Fake,2025-08-20
lula lidera disputa pelo eleitorado de centro aponta datafolha,verdadeiro,Brasil 247,2026-05-24
irã recruta crianças e treina civis para guerra contra eua,verdadeiro,Gazeta do Povo,2026-05-24
Decreto obriga vacinação com rastreador,falso,TSE,2022-03-28
incra notifica assentados no ac por parcelas atrasadas de crédito rural,verdadeiro,ac24horas,2026-05-24
STF confirma sentença de primeira instância,verdadeiro,Fato ou Fake,2022-02-12
Moeda brasileira fortalece,verdadeiro,Aos Fatos,2021-05-30
votações simbólicas e sem transparência dominam o congresso,verdadeiro,Brasil 247,2026-05-24
o grupo gremista está enxugando o choro dos seus próprios problemas,verdadeiro,Zero Hora,2026-05-24
STF mantém decisão sobre bloqueio de contas de investigados,verdadeiro,Fato ou Fake,2025-07-20
vídeo senador bolsonarista é desmentido ao vivo na cnn após fake news sobre lula,verdadeiro,Diário do Centro do Mundo,2026-05-24
Sérgio Moro pede 80 novas vagas nas cadeias de Curitiba. .,falso,Fake.br-Corpus,2026-05-24
"Diante da crise, Petrobras poderá promover mais uma rodada de demissões.",falso,Fake.br-Corpus,2026-05-24
"Homem que foi flagrado batendo na mãe de 84 anos: ""Ela me maltratou quando eu era criança"".",falso,Fake.br-Corpus,2026-05-24
Carmem Lucia arma que nenhum Brasileiro acredita mais nas instituições.,falso,Fake.br-Corpus,2026-05-24
"Marcelo Odebrecht confirma que Lula era o ""AMIGO"" nas planilhas: ""AMIGO foi beneficiário de R$ 8 milhões "".",falso,Fake.br-Corpus,2026-05-24
Governo coloca chip em vacinas,falso,Agência Brasil,2023-12-15
rio c debate habilidades humanas em risco acelerado pelo avanço tecnológico,verdadeiro,O GLOBO,2026-05-24
Mercado de ações tem recuperação,verdadeiro,Agência Brasil,2023-04-01
"""Justiça"" é denunciado por lavagem de dinheiro e corrupção passiva.",falso,Fake.br-Corpus,2026-05-24
"Vídeo de Paula Fernandes ""incorporando a pomba gira"" durante show bomba nas redes.",falso,Fake.br-Corpus,2026-05-24
FHC diz que Bolsonaro é modinha que acaba antes de 2018.,falso,Fake.br-Corpus,2026-05-24
"Pentágono diz que Guerra Mundial é inevitável e quase garantida: ""Será rápida e letal"". ""Um conflito em um futuro próximo será letal e rápido [...] e não conseguiremos cronometrá-lo"".",falso,Fake.br-Corpus,2026-05-24
Tribunal Superior Eleitoral abre prazo para registro,verdadeiro,TSE,2024-12-23
masp depois da meianoite tem clima de balada jovem no acervo,verdadeiro,Folha de S.Paulo,2026-05-24
"No Sul do país, manifestantes e policiais começam a se entender. .",falso,Fake.br-Corpus,2026-05-24
Filósofa petista entra em paranoía e diz que Sérgio Moro age a mando do FBI.,falso,Fake.br-Corpus,2026-05-24
"Quando a PF chegou ao Campo de Marte, um homem já havia levado as imagens da área de embarque. .",falso,Fake.br-Corpus,2026-05-24
Lula desembarca no RJ e é hostilizado pela população.,falso,Fake.br-Corpus,2026-05-24
tiroteio próximo à casa branca deixa um morto e um ferido,verdadeiro,UOL Notícias,2026-05-24
"Cortella alertou: ""Uma nação não pode admitir um presidente dessa natureza"". .",falso,Fake.br-Corpus,2026-05-24
Senadora debocha do povo ao saber que ministro mandou soltar seu marido suspeito de roubo.,falso,Fake.br-Corpus,2026-05-24
Bolsa de Valores vai desaparecer para sempre,falso,Fato ou Fake,2026-05-28
Ministro do STF determina prisão domiciliar para mulher presa por tráfico de drogas.,falso,Fake.br-Corpus,2026-05-24
rogério marinho vê capitalismo de compadrio no caso master,verdadeiro,Tribuna Do Norte,2026-05-24
Senado aprova reforma tributária com votação unânime,verdadeiro,TSE,2025-04-01
"Piloto se irrita com deputado: ""Se nós somos obrigados a passar por uma revista, imagina só um ""Zé Ruela"" desses"".",falso,Fake.br-Corpus,2026-05-24
alta do petróleo com guerra no irã faz putin ganhar tempo contra estagnação da economia russa,verdadeiro,"O Estado de S. Paulo,",2026-05-24
explosão no jaguaré sabesp e comgás firmam acordo após protesto de moradores,verdadeiro,Correio Do Povo,2026-05-24
Investimento em infraestrutura acelera,verdadeiro,Fato ou Fake,2022-10-12
três plantas que repelem formigas e que você pode ter no jardim a partir de hoje,verdadeiro,Catraca Livre - Notícias,2026-05-24
Índice de confiança cresce,verdadeiro,TSE,2020-12-10
"Caminhoneiros anunciam paralisação: ""Somos a única categoria que se posicionou contra os ladrões [...]"".",falso,Fake.br-Corpus,2026-05-24
pt aciona pgr contra mario frias por viagens sem aval e rachadinha,verdadeiro,Correio Braziliense,2026-05-24
sem acordo motoristas e cobradores de ônibus devem iniciar greve a partir de segunda,verdadeiro,O DIA,2026-05-24
salvador é definida como sede de congresso internacional sobre políticas públicas,verdadeiro,A Tarde,2026-05-24
Tiririca escreve carta de repúdio aos políticos da Odebrecht.,falso,Fake.br-Corpus,2026-05-24
"Rapper americana ataca o Brasil: ""Anormais de 3o mundo.",falso,Fake.br-Corpus,2026-05-24
Governo proíbe uso de real,falso,Lupa,2022-01-08
Terceira invasão do MST em menos de 24 horas.,falso,Fake.br-Corpus,2026-05-24
maternidade reformada pela prefeitura de niterói ampliou a capacidade e humanizou o atendimento,verdadeiro,O DIA,2026-05-24
Banco Central vai confiscar dinheiro em espécie,falso,Agência Brasil,2022-09-04
se você percebe borboletas pousando com frequência em seu jardim nós lhe contamos o que isso significa e por que é um bom sinal,verdadeiro,Catraca Livre - Notícias,2026-05-24
Mercado financeiro quebra,falso,Agência Brasil,2022-07-14
"Oposição faz novo alerta: ""Lula pode deixar o país.",falso,Fake.br-Corpus,2026-05-24
Estado Islâmico mata 135 e sequestra outros 400 civis. .,falso,Fake.br-Corpus,2026-05-24
Decreto confisca bens de opositores,falso,Agência Brasil,2025-08-05
Governo vai tomar propriedades,falso,Lupa,2020-02-17
Lula pode ter prisão decretada a qualquer momento.,falso,Fake.br-Corpus,2026-05-24
especialistas defendem resolução que apoia jovens vítimas de violência sexual,verdadeiro,Poder360,2026-05-24
análise santos começa bem mas sofre apagão no segundo tempo e perde pelo brasileiro,verdadeiro,Gazeta Esportiva,2026-05-24
Presidente autoriza confisco de renda,falso,Fato ou Fake,2020-04-26
mauá na usp pensando o futuro habitat sustentabilidade clima criações em d e você pode participar,verdadeiro,Diario Do Grande Abc,2026-05-24
"Varejo tem crescimento de 2,8%",verdadeiro,Agência Brasil,2021-08-04
Presidente assina lei para vacinar população com rastreador,falso,Aos Fatos,2022-07-06
"""Peladão"" do Museu de Arte Moderna deturpou e zombou da verdadeira obra de Lygia Clark. 2017  Eis que aparece um ""curador"" e um ""artista"" e denigrem a obra de Clark.",falso,Fake.br-Corpus,2026-05-24
Gleisi usa a tribuna para defender Sabatella e esquece do maridão denunciado por corrupção.,falso,Fake.br-Corpus,2026-05-24
justiça libera r bilhões do inss para aposentados e pensionistas,verdadeiro,Metrópoles,2026-05-24
Emprego em alta no Brasil,verdadeiro,Fato ou Fake,2024-05-09
horóscopo confira a previsão de hoje para seu signo,verdadeiro,Metrópoles,2026-05-24
prefeitura aciona rbtrans após ônibus pegar fogo e colocar passageiros em risco,verdadeiro,ac24horas,2026-05-24
"""Furacão Irma será a maior catástrofe já vista nos EUA"" diz Centro de Gerenciamento de Emergências. .",falso,Fake.br-Corpus,2026-05-24
"Semana começará pegando fogo: Jornalista diz que Aécio é a ""bola da vez"" na Lava-Jato.",falso,Fake.br-Corpus,2026-05-24
"Por 55 votos a 22, senado aprova afastamento da presidente Dilma.",falso,Fake.br-Corpus,2026-05-24
"Claudia Leitte se muda para os EUA e chama brasileiros de ""povo sem educação"". .",falso,Fake.br-Corpus,2026-05-24
beber cloro cura doenças graves,falso,Lupa,2026-05-16
"LEI ROUANET: Governo Dilma liberou R$ 1, 5 milhão para produzir filme sobre José Dirceu.",falso,Fake.br-Corpus,2026-05-24
Relator da cassação de Cunha relata que sofreu ameaças e Câmara pede reforço na segurança da família do deputado.,falso,Fake.br-Corpus,2026-05-24
justiça condena prefeitura por uso de foto de servidora em figurinhas de whatsapp,verdadeiro,Diário do Centro do Mundo,2026-05-24
Dilma vai continuar sufocando o brasileiro.,falso,Fake.br-Corpus,2026-05-24
em semana de juros globais pressionados dólar e bolsa tem leve queda,verdadeiro,O GLOBO,2026-05-24
Ministro do STF descobre escuta debaixo de sua mesa.,falso,Fake.br-Corpus,2026-05-24
o torcedor vendado que decidiu uma vaga nas eliminatórias da copa,verdadeiro,Diário do Centro do Mundo,2026-05-24
Coreia do Norte dispara míssil nuclear intercontinental.,falso,Fake.br-Corpus,2026-05-24
Taxa de juros cai para menor nível em 18 meses,verdadeiro,Aos Fatos,2022-10-26
Lei elimina moeda nacional,falso,Fato ou Fake,2023-05-01
arquivos para a justiça social,verdadeiro,Correio Braziliense,2026-05-24
"""Ministro da Fazenda quer acabar com os aposentados, mas recebe R$ 250 mil por mês"" diz senador.",falso,Fake.br-Corpus,2026-05-24
Governo lança plano de infraestrutura para o Nordeste,verdadeiro,TSE,2024-12-25
gaby amarantos celebra fase solteira os novinhos estão entregando tudo,verdadeiro,O GLOBO,2026-05-24
Governo confisca depósitos,falso,Aos Fatos,2022-07-19
sair à francesa de uma festa pode fazer bem à saúde mental entenda,verdadeiro,O GLOBO,2026-05-24
"Desemprego cai para 7,8% em maio de 2026",verdadeiro,Aos Fatos,2025-09-25
bolsonaro faz reunião com apoiadores,verdadeiro,CNN,2026-05-16
"Mantega sabia que seria preso e ""limpou"" sua conta corrente.",falso,Fake.br-Corpus,2026-05-24
"Associação Mundial de Psiquiatria  ""Cura gay"" pode causar depressão, suicídio, ansiedade e isolamento social.",falso,Fake.br-Corpus,2026-05-24
10 imagens que mostram porque Evaristo Costa é o rei das redes sociais.,falso,Fake.br-Corpus,2026-05-24
"Governo anuncia que, uma das piores e mais caras internet mundo, será limitada a partir deste semestre.",falso,Fake.br-Corpus,2026-05-24
Mãe abandona filho na escola e diz: Não quero mais esta desgraça.,falso,Fake.br-Corpus,2026-05-24
Presidente participa de conferência internacional,verdadeiro,Fato ou Fake,2024-08-22
imposto de renda os erros mais comuns de quem cai na malha fina,verdadeiro,CNN Brasil,2026-05-24
